sec to solve	episode	score
2.997429132461548	1	2.25
4.392137050628662	2	2.3333333333333335
0.1257174015045166	3	1.1428571428571428
0.08429980278015137	4	1.8
0.10165786743164062	5	1.8333333333333333
0.13573575019836426	6	1.5
0.08342456817626953	7	1.8
0.13357019424438477	8	1.0
0.06851553916931152	9	2.5
0.08441281318664551	10	2.0
0.10483074188232422	11	1.3333333333333333
0.10645723342895508	12	3.8
0.1456606388092041	13	2.0
0.06946611404418945	14	1.5
0.05050396919250488	15	3.0
0.05191302299499512	16	1.6666666666666667
0.0835578441619873	17	2.6
0.07013320922851562	18	2.25
0.1163029670715332	19	2.0
0.06795978546142578	20	2.25
0.09950828552246094	21	2.3333333333333335
0.1157069206237793	22	2.1666666666666665
0.13698124885559082	23	2.0
0.08720040321350098	24	2.2
0.06718587875366211	25	2.25
0.14670038223266602	26	1.2222222222222223
0.06720209121704102	27	2.75
0.08949422836303711	28	1.8
0.1033785343170166	29	1.6666666666666667
0.08531737327575684	30	2.6
0.13319802284240723	31	1.25
0.15128231048583984	32	1.6666666666666667
0.20527052879333496	33	1.3
0.16308140754699707	34	1.75
0.13576698303222656	35	1.8571428571428572
0.0722806453704834	36	2.75
0.08905744552612305	37	2.8
0.1041259765625	38	1.3333333333333333
0.07272601127624512	39	2.75
0.11814546585083008	40	1.0
0.08739113807678223	41	2.6
0.11042904853820801	42	2.4
0.12876152992248535	43	1.3333333333333333
0.10758805274963379	44	1.6
0.08966588973999023	45	2.2
0.08966898918151855	46	3.2
0.05280041694641113	47	2.6666666666666665
0.06847333908081055	48	2.0
0.10022377967834473	49	1.3333333333333333
0.06759786605834961	50	1.75
0.06782722473144531	51	3.25
0.09016084671020508	52	2.4
0.1275479793548584	53	1.0
0.08799934387207031	54	1.6
0.08903002738952637	55	1.0
0.10811805725097656	56	2.6666666666666665
0.1295170783996582	57	1.5
0.08629965782165527	58	1.8
0.05416584014892578	59	5.666666666666667
0.08817648887634277	60	2.2
0.09906554222106934	61	1.8
0.1074211597442627	62	2.6666666666666665
0.10783886909484863	63	2.0
0.1287517547607422	64	2.8333333333333335
0.10536551475524902	65	1.6
0.0875101089477539	66	2.2
0.1202857494354248	67	1.4285714285714286
0.10763335227966309	68	1.5
0.12116765975952148	69	2.0
0.0696258544921875	70	3.0
0.14989924430847168	71	1.0
0.11695027351379395	72	3.0
0.08651351928710938	73	1.6
0.10007095336914062	74	2.1666666666666665
0.08213233947753906	75	2.0
0.1006317138671875	76	1.8333333333333333
0.0671844482421875	77	2.0
0.10355544090270996	78	1.5
0.06750082969665527	79	2.75
0.05260443687438965	80	3.6666666666666665
0.06952691078186035	81	2.5
0.14809656143188477	82	1.25
0.14102482795715332	83	1.875
0.13868999481201172	84	1.375
0.13822197914123535	85	1.375
0.10389542579650879	86	1.5
0.07065510749816895	87	2.0
0.07224559783935547	88	1.75
0.08425021171569824	89	2.0
0.08882546424865723	90	2.6
0.03623032569885254	91	3.5
0.05382680892944336	92	3.3333333333333335
0.10209012031555176	93	1.8333333333333333
0.06795454025268555	94	2.75
0.10849690437316895	95	1.5
0.13029217720031738	96	1.0
0.10538935661315918	97	2.8
0.08736515045166016	98	1.4
0.05456256866455078	99	4.0
0.1536118984222412	100	1.8571428571428572

MiniSAT iters:	1071
GQSAT iters:	546
MiniSAT iters/GQSAT iters:	1.96
total_eval_time	17.094526290893555
Results for	../data/graph-coloring/flat30-60
median_relative_score:	2.0
mean_relative_score:	2.0891626984126987
min_score:	1.0
max_score:	5.666666666666667
