sec to solve	episode	score
2.149226665496826	1	2.1279620853080567
2.5474681854248047	2	3.3775100401606424
3.5472238063812256	3	1.4597701149425288
2.377915382385254	4	4.502127659574468
2.6038026809692383	5	2.453125
1.973691463470459	6	1.7461139896373057
1.71932053565979	7	1.7988165680473374
1.1598684787750244	8	5.198198198198198
3.003706693649292	9	2.77027027027027
2.197770118713379	10	2.356164383561644
3.9839301109313965	11	1.4936708860759493
1.7140326499938965	12	3.0406976744186047
2.0046188831329346	13	2.020100502512563
3.079505443572998	14	2.5794701986754967
2.385967254638672	15	1.8888888888888888
3.1178574562072754	16	2.705501618122977
2.162710666656494	17	2.3878504672897196
1.6957941055297852	18	2.7065868263473054
3.193382501602173	19	1.8885350318471337
2.863454818725586	20	2.1413427561837457
2.436561346054077	21	2.1481481481481484
2.414003610610962	22	3.3839662447257384
1.7828364372253418	23	3.9485714285714284
2.233022689819336	24	2.565610859728507
2.0554797649383545	25	2.4313725490196076
2.0992541313171387	26	2.90521327014218
2.287020683288574	27	2.004405286343612
3.438509225845337	28	1.9149560117302054
2.285707950592041	29	2.078602620087336
2.524226665496826	30	1.1314741035856575
2.9458470344543457	31	1.9965986394557824
1.941467046737671	32	2.381443298969072
3.1720426082611084	33	2.0628930817610063
2.1222310066223145	34	3.2300469483568075
4.2397990226745605	35	2.297872340425532
3.61930251121521	36	2.564245810055866
2.1150338649749756	37	2.8413461538461537
2.366446018218994	38	2.4170212765957446
3.336935520172119	39	1.5696969696969696
1.744274377822876	40	3.0828402366863905
1.7461175918579102	41	1.907514450867052
2.8469009399414062	42	1.2867383512544803
3.618370294570923	43	2.658469945355191
2.904254198074341	44	1.8838028169014085
2.544212579727173	45	2.2823529411764705
4.414442539215088	46	1.260180995475113
2.827718734741211	47	1.4086021505376345
3.0304505825042725	48	1.6611295681063123
3.0729622840881348	49	2.2065573770491804
1.4670917987823486	50	3.0
3.8573999404907227	51	3.002645502645503
3.811680316925049	52	1.6032171581769437
3.515285015106201	53	1.7377521613832854
2.548774003982544	54	2.872
2.716473340988159	55	1.9288389513108615
2.0395402908325195	56	2.9396984924623117
1.7311992645263672	57	2.5697674418604652
1.7474327087402344	58	3.5232558139534884
1.8403863906860352	59	2.4972677595628414
3.0393190383911133	60	1.3233333333333333
2.6548683643341064	61	2.1908396946564888
2.180495262145996	62	1.8679245283018868
3.0766470432281494	63	2.545751633986928
2.7196977138519287	64	2.0037453183520597
2.3724124431610107	65	2.7543103448275863
2.0305378437042236	66	2.763819095477387
2.5421295166015625	67	2.222672064777328
3.5443949699401855	68	1.9570200573065903
1.7001121044158936	69	3.5555555555555554
2.458390951156616	70	2.1598360655737703
1.8991200923919678	71	3.172043010752688
2.3962748050689697	72	2.1030042918454934
3.994450569152832	73	1.413265306122449
3.5484158992767334	74	1.915014164305949
2.0945608615875244	75	3.260869565217391
6.048333644866943	76	1.348914858096828
4.236891269683838	77	2.053268765133172
3.0860660076141357	78	1.9344262295081966
2.629652976989746	79	3.5736434108527133
2.4161102771759033	80	1.8361344537815125
3.1813483238220215	81	2.8694267515923566
0.6176636219024658	82	4.758064516129032
1.9751486778259277	83	2.6564102564102563
2.7287087440490723	84	2.388059701492537
4.088947534561157	85	2.3844221105527637
1.7765171527862549	86	4.005714285714285
1.6554603576660156	87	2.5548780487804876
2.761012554168701	88	2.11070110701107
2.0932843685150146	89	1.6990291262135921
1.9760229587554932	90	2.365979381443299
2.3428893089294434	91	2.314655172413793
1.6526954174041748	92	1.5493827160493827
3.1143248081207275	93	1.1973684210526316
1.9380526542663574	94	2.2072538860103625
4.025269985198975	95	1.3408521303258145
4.8446364402771	96	2.393684210526316
3.076153516769409	97	2.6533333333333333
2.662064790725708	98	1.7803030303030303
2.65848445892334	99	2.6475095785440614
2.609083652496338	100	2.627450980392157

MiniSAT iters:	55509
GQSAT iters:	26192
MiniSAT iters/GQSAT iters:	2.12
total_eval_time	265.37905073165894
Results for	../data/uniform-random-3-sat/test/uuf100-430
median_relative_score:	2.3062637564196624
mean_relative_score:	2.38288690808129
min_score:	1.1314741035856575
max_score:	5.198198198198198
