run,model,dataset,cap,n,median,mean,min,max
Dec09_12-16-16_d4e65e7af705,gatqsat,flat75-180,500,100,2.9444,3.4953,0.5789,16.3333
Nov12_14-06-54_c42e8ad320d8,gatqsat,flat75-180,500,100,2.0833,2.5767,0.3902,7.0000
Nov13_03-55-51_c42e8ad320d8,gatqsat,flat75-180,500,100,1.3842,1.9167,0.2314,12.2500
Dec09_12-16-16_d4e65e7af705,gatqsat,flat75-180,1000,100,2.9444,3.4953,0.5789,16.3333
Nov12_14-06-54_c42e8ad320d8,gatqsat,flat75-180,1000,100,2.0833,2.5767,0.3902,7.0000
Nov13_03-55-51_c42e8ad320d8,gatqsat,flat75-180,1000,100,1.3842,1.9167,0.2314,12.2500
Dec09_12-16-16_d4e65e7af705,gatqsat,flat100-239,10,100,2.2817,3.6772,0.2746,16.8750
Nov12_14-06-54_c42e8ad320d8,gatqsat,flat100-239,10,100,1.9555,2.6662,0.5333,10.8000
Nov13_03-55-51_c42e8ad320d8,gatqsat,flat100-239,10,100,1.7342,2.2341,0.3404,11.2000
Dec09_12-16-16_d4e65e7af705,gatqsat,flat100-239,50,100,2.7571,4.1554,0.7500,16.8750
Nov12_14-06-54_c42e8ad320d8,gatqsat,flat100-239,50,100,2.0000,2.8147,0.5079,11.8500
Nov13_03-55-51_c42e8ad320d8,gatqsat,flat100-239,50,100,1.2001,1.7831,0.2335,11.2000
Dec09_12-16-16_d4e65e7af705,gatqsat,flat100-239,100,100,2.7571,4.1616,0.7500,16.8750
Nov12_14-06-54_c42e8ad320d8,gatqsat,flat100-239,100,100,2.0000,2.7958,0.4962,11.8500
Nov13_03-55-51_c42e8ad320d8,gatqsat,flat100-239,100,100,1.2118,1.7444,0.2432,11.2000
Dec09_12-16-16_d4e65e7af705,gatqsat,flat100-239,300,100,2.7571,4.1616,0.7500,16.8750
Nov12_14-06-54_c42e8ad320d8,gatqsat,flat100-239,300,100,2.0000,2.7971,0.5517,11.8500
Nov13_03-55-51_c42e8ad320d8,gatqsat,flat100-239,300,100,1.1844,1.7309,0.1461,11.2000
Dec09_12-16-16_d4e65e7af705,gatqsat,flat100-239,500,100,2.7571,4.1616,0.7500,16.8750
Nov12_14-06-54_c42e8ad320d8,gatqsat,flat100-239,500,100,2.0000,2.7971,0.5517,11.8500
Nov13_03-55-51_c42e8ad320d8,gatqsat,flat100-239,500,100,1.1844,1.7309,0.1461,11.2000
Dec09_12-16-16_d4e65e7af705,gatqsat,flat100-239,1000,100,2.7571,4.1616,0.7500,16.8750
