sec to solve	episode	score
0.038901567459106445	1	1.5
0.024926424026489258	2	3.25
0.030387163162231445	3	3.2
0.04752635955810547	4	1.25
0.041703224182128906	5	1.1428571428571428
0.03618788719177246	6	1.8333333333333333
0.030900955200195312	7	1.0
0.030463457107543945	8	1.8
0.031005144119262695	9	2.6
0.031151771545410156	10	2.8
0.038123130798339844	11	1.3333333333333333
0.04355931282043457	12	2.0
0.03455686569213867	13	2.2
0.0324254035949707	14	2.0
0.03786134719848633	15	1.3333333333333333
0.02535247802734375	16	2.25
0.030809402465820312	17	1.8
0.04245424270629883	18	1.8571428571428572
0.03182721138000488	19	2.2
0.01922154426574707	20	3.3333333333333335
0.019432544708251953	21	3.0
0.024210691452026367	22	1.5
0.04170536994934082	23	2.0
0.01887369155883789	24	3.0
0.04742717742919922	25	1.75
0.01966571807861328	26	3.0
0.03616666793823242	27	3.1666666666666665
0.03630518913269043	28	1.5
0.036170005798339844	29	1.8333333333333333
0.024384737014770508	30	2.5
0.04817962646484375	31	1.875
0.0384516716003418	32	2.0
0.036974191665649414	33	1.8333333333333333
0.03691577911376953	34	1.8333333333333333
0.036537885665893555	35	1.5
0.03093409538269043	36	2.6
0.031241655349731445	37	1.0
0.025016069412231445	38	2.5
0.03364920616149902	39	1.8
0.02045893669128418	40	2.6666666666666665
0.042821407318115234	41	1.8571428571428572
0.03169727325439453	42	1.2
0.02570819854736328	43	1.75
0.027001380920410156	44	1.75
0.0443727970123291	45	2.4285714285714284
0.01996588706970215	46	4.0
0.04299640655517578	47	1.1428571428571428
0.04284167289733887	48	1.8571428571428572
0.030328989028930664	49	1.6
0.035665273666381836	50	2.5
0.029872417449951172	51	2.2
0.052158355712890625	52	1.1111111111111112
0.03566336631774902	53	1.5
0.027860403060913086	54	3.0
0.03979134559631348	55	1.3333333333333333
0.03157329559326172	56	2.6
0.030225515365600586	57	1.6
0.0428004264831543	58	1.4285714285714286
0.03556108474731445	59	3.0
0.03018045425415039	60	2.2
0.018769502639770508	61	2.6666666666666665
0.031668901443481445	62	1.6
0.029989957809448242	63	2.0
0.030530691146850586	64	2.6
0.047621726989746094	65	1.375
0.03562593460083008	66	2.0
0.025473594665527344	67	3.5
0.03368234634399414	68	2.4
0.04875755310058594	69	2.0
0.02433919906616211	70	2.25
0.036628007888793945	71	1.0
0.020125865936279297	72	2.6666666666666665
0.03161215782165527	73	1.4
0.043915748596191406	74	2.3333333333333335
0.04079794883728027	75	1.8333333333333333
0.027786731719970703	76	2.5
0.038407087326049805	77	1.8333333333333333
0.04219818115234375	78	2.2857142857142856
0.029523134231567383	79	2.2
0.013281583786010742	80	5.5
0.023952484130859375	81	2.0
0.02440357208251953	82	1.75
0.03496813774108887	83	1.3333333333333333
0.03513503074645996	84	2.1666666666666665
0.04500770568847656	85	1.5714285714285714
0.03919100761413574	86	1.1666666666666667
0.03735065460205078	87	1.8333333333333333
0.030466556549072266	88	3.2
0.024805784225463867	89	3.5
0.03065943717956543	90	1.8
0.029856443405151367	91	2.6
0.03606557846069336	92	1.5
0.04067277908325195	93	1.2857142857142858
0.025861501693725586	94	2.5
0.03722119331359863	95	1.3333333333333333
0.026067018508911133	96	2.75
0.0261843204498291	97	4.25
0.02605891227722168	98	3.5
0.03146719932556152	99	1.6
0.038313865661621094	100	1.6666666666666667

MiniSAT iters:	1071
GQSAT iters:	533
MiniSAT iters/GQSAT iters:	2.01
total_eval_time	3.3214826583862305
Results for	../data/graph-coloring/flat30-60
median_relative_score:	2.0
mean_relative_score:	2.128515873015873
min_score:	1.0
max_score:	5.5
