sec to solve	episode	score
0.038652658462524414	1	1.5
0.024716615676879883	2	3.25
0.030237913131713867	3	3.2
0.048128604888916016	4	1.25
0.04141640663146973	5	1.1428571428571428
0.03734731674194336	6	1.8333333333333333
0.030047178268432617	7	1.0
0.031507253646850586	8	1.8
0.03184223175048828	9	2.6
0.032250404357910156	10	2.8
0.037076711654663086	11	1.3333333333333333
0.04225301742553711	12	2.0
0.03101944923400879	13	2.2
0.030530452728271484	14	2.0
0.03618025779724121	15	1.3333333333333333
0.025153636932373047	16	2.25
0.03066420555114746	17	1.8
0.04220867156982422	18	1.8571428571428572
0.03078937530517578	19	2.2
0.018924236297607422	20	3.3333333333333335
0.01878070831298828	21	3.0
0.024251461029052734	22	1.5
0.04203391075134277	23	2.0
0.01908087730407715	24	3.0
0.04680991172790527	25	1.75
0.019149065017700195	26	3.0
0.036817073822021484	27	3.1666666666666665
0.037503719329833984	28	1.5
0.03662824630737305	29	1.8333333333333333
0.02563309669494629	30	2.5
0.04786992073059082	31	1.875
0.0364232063293457	32	2.0
0.03626108169555664	33	1.8333333333333333
0.036492347717285156	34	1.8333333333333333
0.03998255729675293	35	1.5
0.031301259994506836	36	2.6
0.030995845794677734	37	1.0
0.024190902709960938	38	2.5
0.029938697814941406	39	1.8
0.01940608024597168	40	2.6666666666666665
0.042099714279174805	41	1.8571428571428572
0.030391454696655273	42	1.2
0.02448868751525879	43	1.75
0.024613142013549805	44	1.75
0.040579795837402344	45	2.4285714285714284
0.01927495002746582	46	4.0
0.04027128219604492	47	1.1428571428571428
0.04097342491149902	48	1.8571428571428572
0.029371023178100586	49	1.6
0.03519868850708008	50	2.5
0.029201984405517578	51	2.2
0.051863670349121094	52	1.1111111111111112
0.0353543758392334	53	1.5
0.024086713790893555	54	3.0
0.03579545021057129	55	1.3333333333333333
0.03228926658630371	56	2.6
0.030884265899658203	57	1.6
0.041265010833740234	58	1.4285714285714286
0.03524017333984375	59	3.0
0.030289888381958008	60	2.2
0.018467187881469727	61	2.6666666666666665
0.030047893524169922	62	1.6
0.02936387062072754	63	2.0
0.02944207191467285	64	2.6
0.04728388786315918	65	1.375
0.03549551963806152	66	2.0
0.02451324462890625	67	3.5
0.03133964538574219	68	2.4
0.04683399200439453	69	2.0
0.024425983428955078	70	2.25
0.03681039810180664	71	1.0
0.019267559051513672	72	2.6666666666666665
0.030027151107788086	73	1.4
0.03571629524230957	74	2.3333333333333335
0.036751747131347656	75	1.8333333333333333
0.025180816650390625	76	2.5
0.03747439384460449	77	1.8333333333333333
0.041338443756103516	78	2.2857142857142856
0.02950263023376465	79	2.2
0.013640403747558594	80	5.5
0.024414539337158203	81	2.0
0.025326967239379883	82	1.75
0.035878658294677734	83	1.3333333333333333
0.03560781478881836	84	2.1666666666666665
0.04291844367980957	85	1.5714285714285714
0.035294294357299805	86	1.1666666666666667
0.03493905067443848	87	1.8333333333333333
0.030559301376342773	88	3.2
0.024843454360961914	89	3.5
0.0306394100189209	90	1.8
0.02999091148376465	91	2.6
0.03621935844421387	92	1.5
0.040837764739990234	93	1.2857142857142858
0.024951696395874023	94	2.5
0.03700876235961914	95	1.3333333333333333
0.026458024978637695	96	2.75
0.026637554168701172	97	4.25
0.025670528411865234	98	3.5
0.02947545051574707	99	1.6
0.036986589431762695	100	1.6666666666666667

MiniSAT iters:	1071
GQSAT iters:	533
MiniSAT iters/GQSAT iters:	2.01
total_eval_time	3.2475221157073975
Results for	../data/graph-coloring/flat30-60
median_relative_score:	2.0
mean_relative_score:	2.128515873015873
min_score:	1.0
max_score:	5.5
