sec to solve	episode	score
4.852102756500244	1	1.5907997038134025
4.01612114906311	2	1.8447206077974485
5.250211238861084	3	1.6985579647782372
6.12334418296814	4	1.5096889030253355
4.370756387710571	5	1.3470162095914444
3.822021484375	6	1.1873806396318345
4.923252582550049	7	2.058361864629971
4.455369710922241	8	1.5125946875723595
4.166040420532227	9	1.8399265292809996
5.22299337387085	10	1.5204334233941126
5.386884927749634	11	1.2873121602527964
2.5284976959228516	12	1.9638398681590332
6.026364803314209	13	1.2950551919270423
3.2014031410217285	14	1.942747839125066
4.664596796035767	15	1.1202573395314186
4.610896825790405	16	1.4695235602509498
3.6578915119171143	17	1.1396106066248437
2.6974079608917236	18	1.5821181437898275
6.79897665977478	19	2.0780659980951315
3.7550208568573	20	1.8103284856724335
4.6270060539245605	21	1.76410386200242
7.626521587371826	22	1.130646485092927
6.186596632003784	23	1.5975776175255794
2.341378927230835	24	1.6646954642331822
5.704076528549194	25	1.8484631833455742
5.644751787185669	26	1.531182266966013
4.075451374053955	27	0.9854619612785772
3.9016735553741455	28	2.7868722591597113
2.688631534576416	29	1.9355544715018391
3.6970767974853516	30	1.8909899246514046
3.819148063659668	31	2.140278807934425
4.070645093917847	32	1.4396166753278783
2.650637626647949	33	1.0284607458228443
8.567322254180908	34	1.2958106282679214
7.410962343215942	35	1.3453623803702321
4.803955554962158	36	1.3295534431641043
4.478219270706177	37	1.903839713797976
1.877946138381958	38	1.3806109950284602
3.421520709991455	39	2.2409541261608226
5.485712051391602	40	1.2894447153905106
2.9785592555999756	41	1.8851165898947468
1.4910202026367188	42	1.6462213731777762
6.11841607093811	43	1.436798514750027
1.4261202812194824	44	1.6092334574883893
4.153808116912842	45	1.4055866593391495
2.1144704818725586	46	1.9944696151303591
3.504257917404175	47	1.261265952016335
2.099520206451416	48	1.7876048028984113
3.047656536102295	49	1.165424807425975
5.5770485401153564	50	1.686030780218799
3.9429094791412354	51	1.5899193585891938
4.983407020568848	52	1.736054673069819
8.87078332901001	53	1.5857477798150332
1.3033673763275146	54	1.5332212997567032
4.412350654602051	55	1.5507282356835486
4.291097640991211	56	1.3460102159076275
4.4736058712005615	57	1.7508115785202218
6.414431095123291	58	1.440902296347736
8.93105697631836	59	1.4758907579793001
4.11069917678833	60	1.5115102211460574
4.612797975540161	61	1.4985113524836908
1.1991114616394043	62	2.325859242588425
1.9777770042419434	63	2.0981913923353583
1.545283555984497	64	1.5508133146612086
5.907633066177368	65	1.3711366344666718
7.380058526992798	66	1.2413553207936099
2.726088762283325	67	1.4597052243716278
5.541343688964844	68	2.125442051117184
2.6057848930358887	69	1.2025906873850583
2.546196937561035	70	1.4970962881797014
3.5349090099334717	71	1.6216706107446754
5.2838053703308105	72	1.7575952163946198
3.893099069595337	73	1.3905721087676226
6.496201753616333	74	1.1731682574814406
4.038737773895264	75	1.8949059242882282
3.6447806358337402	76	1.6964283928267805
9.015371561050415	77	1.3208835132890366
6.498310089111328	78	1.5774012509894244
1.8473803997039795	79	1.9019019939665955
4.6668860912323	80	1.341455617802428
3.0306506156921387	81	1.8377825034499922
3.505781412124634	82	1.8981647087516769
9.676734685897827	83	1.0484688695878257
2.183041572570801	84	1.6916074243252808
2.9230945110321045	85	1.5534629762845384
8.598845720291138	86	1.9158012884857554
3.6885859966278076	87	1.6311414114927794
4.15865159034729	88	0.9638106915989714
3.866206169128418	89	1.9212487747137916
0.9562649726867676	90	2.113505395871896
2.4478840827941895	91	1.6722502719741137
4.187324285507202	92	1.7902316406863685
5.483314514160156	93	1.4257756114591096
2.8594918251037598	94	1.7688989813135094
1.503561019897461	95	2.1879903302317096
4.58580470085144	96	2.1903741579417253
4.384369134902954	97	1.2594018432723855
4.23900032043457	98	0.9660448435121397
2.538574695587158	99	1.2714660257810793
2.788179397583008	100	1.1843054109641216

MiniSAT iters:	53740993
GQSAT iters:	11703295
MiniSAT iters/GQSAT iters:	4.59
total_eval_time	430.8435380458832
Results for	../data/uniform-random-3-sat/uuf250-1065
median_relative_score:	1.579759697389626
mean_relative_score:	1.6006478597975349
min_score:	0.9638106915989714
max_score:	2.7868722591597113
