sec to solve	episode #	score
0.14774203300476074	1	1.52
0.05077552795410156	2	1.7777777777777777
0.045440673828125	3	1.0
0.10041427612304688	4	0.8333333333333334
0.04804658889770508	5	10.875
0.09560275077819824	6	1.0
0.08171510696411133	7	0.8666666666666667
0.1894693374633789	8	0.8181818181818182
0.0360567569732666	9	4.833333333333333
0.06883406639099121	10	2.3333333333333335
0.14776253700256348	11	0.68
0.1224508285522461	12	2.1052631578947367
0.07071566581726074	13	6.090909090909091
0.06928515434265137	14	1.5454545454545454
0.07895588874816895	15	5.076923076923077
0.05705881118774414	16	6.888888888888889
0.05584287643432617	17	4.222222222222222
0.0709691047668457	18	1.3333333333333333
0.13861584663391113	19	1.391304347826087
0.1817023754119873	20	3.1333333333333333
0.08080792427062988	21	3.4285714285714284
0.08817219734191895	22	2.3333333333333335
0.10657858848571777	23	3.3529411764705883
0.0935513973236084	24	1.8666666666666667
0.036640167236328125	25	6.5
0.06520342826843262	26	10.272727272727273
0.06812524795532227	27	3.3333333333333335
0.1910111904144287	28	0.90625
0.06141304969787598	29	2.0
0.15633869171142578	30	0.8928571428571429
0.040554046630859375	31	3.5714285714285716
0.04466724395751953	32	4.875
0.08752608299255371	33	2.9375
0.07659149169921875	34	4.285714285714286
0.18986916542053223	35	0.9333333333333333
0.14939332008361816	36	0.9615384615384616
0.07114362716674805	37	2.923076923076923
0.09300446510314941	38	1.3125
0.13427424430847168	39	1.0833333333333333
0.13119196891784668	40	2.0869565217391304
0.1349506378173828	41	0.7916666666666666
0.05075192451477051	42	1.8888888888888888
0.0293729305267334	43	4.4
0.06148028373718262	44	2.7
0.15719056129455566	45	0.6785714285714286
0.03899812698364258	46	7.0
0.10128450393676758	47	0.5555555555555556
0.07619452476501465	48	1.0
0.10178422927856445	49	1.1666666666666667
0.2128925323486328	50	0.2631578947368421
0.1507399082183838	51	2.074074074074074
0.09617018699645996	52	4.470588235294118
0.05171918869018555	53	1.2222222222222223
0.06424307823181152	54	3.090909090909091
0.04021096229553223	55	3.7142857142857144
0.1398918628692627	56	0.32
0.06217479705810547	57	5.545454545454546
0.14804410934448242	58	2.1153846153846154
0.16306686401367188	59	1.9310344827586208
0.11050176620483398	60	2.9
0.045594215393066406	61	2.0
0.04389381408691406	62	2.0
0.10967278480529785	63	3.2
0.09141016006469727	64	2.0
0.06281208992004395	65	4.545454545454546
0.06272625923156738	66	4.0
0.1265850067138672	67	1.2608695652173914
0.03482198715209961	68	9.5
0.11308956146240234	69	2.3333333333333335
0.11838650703430176	70	2.380952380952381
0.15858983993530273	71	0.39285714285714285
0.04518604278564453	72	5.25
0.07155752182006836	73	2.076923076923077
0.045455217361450195	74	4.625
0.05595660209655762	75	5.7
0.06258273124694824	76	2.272727272727273
0.05667257308959961	77	1.3
0.142913818359375	78	0.5
0.08429908752441406	79	5.266666666666667
0.11449694633483887	80	1.2857142857142858
0.06579136848449707	81	1.3333333333333333
0.06676411628723145	82	1.4166666666666667
0.06641864776611328	83	3.1666666666666665
0.09764742851257324	84	1.5294117647058822
0.06621670722961426	85	1.75
0.05622601509094238	86	3.7
0.08641481399536133	87	0.5625
0.11515545845031738	88	0.9523809523809523
0.11002326011657715	89	2.6315789473684212
0.1830909252166748	90	0.8484848484848485
0.10219693183898926	91	4.842105263157895
0.04748415946960449	92	3.75
0.21350860595703125	93	1.105263157894737
0.10580134391784668	94	3.736842105263158
0.16023516654968262	95	2.0344827586206895
0.16666054725646973	96	1.9
0.07434415817260742	97	1.7692307692307692
0.05168461799621582	98	4.222222222222222
0.07888293266296387	99	1.7857142857142858
0.061179161071777344	100	2.090909090909091
0.16169023513793945	101	1.4137931034482758

MiniSAT iters:	3668
GQSAT iters:	1681
MiniSAT iters/GQSAT iters:	2.18
total_eval_time	9.606364965438843
Results for	../data/uniform-random-3-sat/test/uf50-218
median_relative_score:	2.074074074074074
mean_relative_score:	2.7172560824843406
min_score:	0.2631578947368421
max_score:	10.875
